reference-system-code;reference-system-code-label;reference-system-code-ref
Pulkovo 1995 / Gauss-Kruger 13N (EPSG:20073);EPSG:20073;http://www.opengis.net/def/crs/EPSG/0/20073
Pulkovo 1995 / Gauss-Kruger 14N (EPSG:20074);EPSG:20074;http://www.opengis.net/def/crs/EPSG/0/20074
Pulkovo 1995 / Gauss-Kruger 15N (EPSG:20075);EPSG:20075;http://www.opengis.net/def/crs/EPSG/0/20075
Pulkovo 1995 / Gauss-Kruger 16N (EPSG:20076);EPSG:20076;http://www.opengis.net/def/crs/EPSG/0/20076
Pulkovo 1995 / Gauss-Kruger 17N (EPSG:20077);EPSG:20077;http://www.opengis.net/def/crs/EPSG/0/20077
Pulkovo 1995 / Gauss-Kruger 18N (EPSG:20078);EPSG:20078;http://www.opengis.net/def/crs/EPSG/0/20078
Pulkovo 1995 / Gauss-Kruger 19N (EPSG:20079);EPSG:20079;http://www.opengis.net/def/crs/EPSG/0/20079
NAD27(CGQ77) / SCoPQ zone 2 (EPSG:2008);EPSG:2008;http://www.opengis.net/def/crs/EPSG/0/2008
Pulkovo 1995 / Gauss-Kruger 20N (EPSG:20080);EPSG:20080;http://www.opengis.net/def/crs/EPSG/0/20080
Pulkovo 1995 / Gauss-Kruger 21N (EPSG:20081);EPSG:20081;http://www.opengis.net/def/crs/EPSG/0/20081
Pulkovo 1995 / Gauss-Kruger 22N (EPSG:20082);EPSG:20082;http://www.opengis.net/def/crs/EPSG/0/20082
Pulkovo 1995 / Gauss-Kruger 23N (EPSG:20083);EPSG:20083;http://www.opengis.net/def/crs/EPSG/0/20083
Pulkovo 1995 / Gauss-Kruger 24N (EPSG:20084);EPSG:20084;http://www.opengis.net/def/crs/EPSG/0/20084
Pulkovo 1995 / Gauss-Kruger 25N (EPSG:20085);EPSG:20085;http://www.opengis.net/def/crs/EPSG/0/20085
Pulkovo 1995 / Gauss-Kruger 26N (EPSG:20086);EPSG:20086;http://www.opengis.net/def/crs/EPSG/0/20086
Pulkovo 1995 / Gauss-Kruger 27N (EPSG:20087);EPSG:20087;http://www.opengis.net/def/crs/EPSG/0/20087
Pulkovo 1995 / Gauss-Kruger 28N (EPSG:20088);EPSG:20088;http://www.opengis.net/def/crs/EPSG/0/20088
Pulkovo 1995 / Gauss-Kruger 29N (EPSG:20089);EPSG:20089;http://www.opengis.net/def/crs/EPSG/0/20089
NAD27(CGQ77) / SCoPQ zone 3 (EPSG:2009);EPSG:2009;http://www.opengis.net/def/crs/EPSG/0/2009
Pulkovo 1995 / Gauss-Kruger 30N (EPSG:20090);EPSG:20090;http://www.opengis.net/def/crs/EPSG/0/20090
Pulkovo 1995 / Gauss-Kruger 31N (EPSG:20091);EPSG:20091;http://www.opengis.net/def/crs/EPSG/0/20091
Pulkovo 1995 / Gauss-Kruger 32N (EPSG:20092);EPSG:20092;http://www.opengis.net/def/crs/EPSG/0/20092
NAD27(CGQ77) / SCoPQ zone 4 (EPSG:2010);EPSG:2010;http://www.opengis.net/def/crs/EPSG/0/2010
NAD27(CGQ77) / SCoPQ zone 5 (EPSG:2011);EPSG:2011;http://www.opengis.net/def/crs/EPSG/0/2011
NAD27(CGQ77) / SCoPQ zone 6 (EPSG:2012);EPSG:2012;http://www.opengis.net/def/crs/EPSG/0/2012
NAD27(CGQ77) / SCoPQ zone 7 (EPSG:2013);EPSG:2013;http://www.opengis.net/def/crs/EPSG/0/2013
Adindan / UTM zone 35N (EPSG:20135);EPSG:20135;http://www.opengis.net/def/crs/EPSG/0/20135
Adindan / UTM zone 36N (EPSG:20136);EPSG:20136;http://www.opengis.net/def/crs/EPSG/0/20136
Adindan / UTM zone 37N (EPSG:20137);EPSG:20137;http://www.opengis.net/def/crs/EPSG/0/20137
Adindan / UTM zone 38N (EPSG:20138);EPSG:20138;http://www.opengis.net/def/crs/EPSG/0/20138
NAD27(CGQ77) / SCoPQ zone 8 (EPSG:2014);EPSG:2014;http://www.opengis.net/def/crs/EPSG/0/2014
NAD27(CGQ77) / SCoPQ zone 9 (EPSG:2015);EPSG:2015;http://www.opengis.net/def/crs/EPSG/0/2015
NAD27(CGQ77) / SCoPQ zone 10 (EPSG:2016);EPSG:2016;http://www.opengis.net/def/crs/EPSG/0/2016
NAD27(76) / MTM zone 8 (EPSG:2017);EPSG:2017;http://www.opengis.net/def/crs/EPSG/0/2017
NAD27(76) / MTM zone 9 (EPSG:2018);EPSG:2018;http://www.opengis.net/def/crs/EPSG/0/2018
NAD27(76) / MTM zone 10 (EPSG:2019);EPSG:2019;http://www.opengis.net/def/crs/EPSG/0/2019
NAD27(76) / MTM zone 11 (EPSG:2020);EPSG:2020;http://www.opengis.net/def/crs/EPSG/0/2020
NAD27(76) / MTM zone 12 (EPSG:2021);EPSG:2021;http://www.opengis.net/def/crs/EPSG/0/2021
NAD27(76) / MTM zone 13 (EPSG:2022);EPSG:2022;http://www.opengis.net/def/crs/EPSG/0/2022
NAD27(76) / MTM zone 14 (EPSG:2023);EPSG:2023;http://www.opengis.net/def/crs/EPSG/0/2023
NAD27(76) / MTM zone 15 (EPSG:2024);EPSG:2024;http://www.opengis.net/def/crs/EPSG/0/2024
AGD66 / AMG zone 48 (EPSG:20248);EPSG:20248;http://www.opengis.net/def/crs/EPSG/0/20248
AGD66 / AMG zone 49 (EPSG:20249);EPSG:20249;http://www.opengis.net/def/crs/EPSG/0/20249
NAD27(76) / MTM zone 16 (EPSG:2025);EPSG:2025;http://www.opengis.net/def/crs/EPSG/0/2025
AGD66 / AMG zone 50 (EPSG:20250);EPSG:20250;http://www.opengis.net/def/crs/EPSG/0/20250
AGD66 / AMG zone 51 (EPSG:20251);EPSG:20251;http://www.opengis.net/def/crs/EPSG/0/20251
AGD66 / AMG zone 52 (EPSG:20252);EPSG:20252;http://www.opengis.net/def/crs/EPSG/0/20252
AGD66 / AMG zone 53 (EPSG:20253);EPSG:20253;http://www.opengis.net/def/crs/EPSG/0/20253
AGD66 / AMG zone 54 (EPSG:20254);EPSG:20254;http://www.opengis.net/def/crs/EPSG/0/20254
AGD66 / AMG zone 55 (EPSG:20255);EPSG:20255;http://www.opengis.net/def/crs/EPSG/0/20255
AGD66 / AMG zone 56 (EPSG:20256);EPSG:20256;http://www.opengis.net/def/crs/EPSG/0/20256
AGD66 / AMG zone 57 (EPSG:20257);EPSG:20257;http://www.opengis.net/def/crs/EPSG/0/20257
AGD66 / AMG zone 58 (EPSG:20258);EPSG:20258;http://www.opengis.net/def/crs/EPSG/0/20258
NAD27(76) / MTM zone 17 (EPSG:2026);EPSG:2026;http://www.opengis.net/def/crs/EPSG/0/2026
NAD27(76) / UTM zone 15N (EPSG:2027);EPSG:2027;http://www.opengis.net/def/crs/EPSG/0/2027
NAD27(76) / UTM zone 16N (EPSG:2028);EPSG:2028;http://www.opengis.net/def/crs/EPSG/0/2028
NAD27(76) / UTM zone 17N (EPSG:2029);EPSG:2029;http://www.opengis.net/def/crs/EPSG/0/2029
NAD27(76) / UTM zone 18N (EPSG:2030);EPSG:2030;http://www.opengis.net/def/crs/EPSG/0/2030
NAD27(CGQ77) / UTM zone 17N (EPSG:2031);EPSG:2031;http://www.opengis.net/def/crs/EPSG/0/2031
NAD27(CGQ77) / UTM zone 18N (EPSG:2032);EPSG:2032;http://www.opengis.net/def/crs/EPSG/0/2032
NAD27(CGQ77) / UTM zone 19N (EPSG:2033);EPSG:2033;http://www.opengis.net/def/crs/EPSG/0/2033
NAD27(CGQ77) / UTM zone 20N (EPSG:2034);EPSG:2034;http://www.opengis.net/def/crs/EPSG/0/2034
AGD84 / AMG zone 48 (EPSG:20348);EPSG:20348;http://www.opengis.net/def/crs/EPSG/0/20348
AGD84 / AMG zone 49 (EPSG:20349);EPSG:20349;http://www.opengis.net/def/crs/EPSG/0/20349
NAD27(CGQ77) / UTM zone 21N (EPSG:2035);EPSG:2035;http://www.opengis.net/def/crs/EPSG/0/2035
AGD84 / AMG zone 50 (EPSG:20350);EPSG:20350;http://www.opengis.net/def/crs/EPSG/0/20350
AGD84 / AMG zone 51 (EPSG:20351);EPSG:20351;http://www.opengis.net/def/crs/EPSG/0/20351
AGD84 / AMG zone 52 (EPSG:20352);EPSG:20352;http://www.opengis.net/def/crs/EPSG/0/20352
AGD84 / AMG zone 53 (EPSG:20353);EPSG:20353;http://www.opengis.net/def/crs/EPSG/0/20353
AGD84 / AMG zone 54 (EPSG:20354);EPSG:20354;http://www.opengis.net/def/crs/EPSG/0/20354
AGD84 / AMG zone 55 (EPSG:20355);EPSG:20355;http://www.opengis.net/def/crs/EPSG/0/20355
AGD84 / AMG zone 56 (EPSG:20356);EPSG:20356;http://www.opengis.net/def/crs/EPSG/0/20356
AGD84 / AMG zone 57 (EPSG:20357);EPSG:20357;http://www.opengis.net/def/crs/EPSG/0/20357
AGD84 / AMG zone 58 (EPSG:20358);EPSG:20358;http://www.opengis.net/def/crs/EPSG/0/20358
NAD83(CSRS98) / New Brunswick Stereo (EPSG:2036);EPSG:2036;http://www.opengis.net/def/crs/EPSG/0/2036
NAD83(CSRS98) / UTM zone 19N (EPSG:2037);EPSG:2037;http://www.opengis.net/def/crs/EPSG/0/2037
NAD83(CSRS98) / UTM zone 20N (EPSG:2038);EPSG:2038;http://www.opengis.net/def/crs/EPSG/0/2038
Israel 1993 / Israeli TM Grid (EPSG:2039);EPSG:2039;http://www.opengis.net/def/crs/EPSG/0/2039
Locodjo 1965 / UTM zone 30N (EPSG:2040);EPSG:2040;http://www.opengis.net/def/crs/EPSG/0/2040
Abidjan 1987 / UTM zone 30N (EPSG:2041);EPSG:2041;http://www.opengis.net/def/crs/EPSG/0/2041
Locodjo 1965 / UTM zone 29N (EPSG:2042);EPSG:2042;http://www.opengis.net/def/crs/EPSG/0/2042
Abidjan 1987 / UTM zone 29N (EPSG:2043);EPSG:2043;http://www.opengis.net/def/crs/EPSG/0/2043
Ain el Abd / UTM zone 36N (EPSG:20436);EPSG:20436;http://www.opengis.net/def/crs/EPSG/0/20436
Ain el Abd / UTM zone 37N (EPSG:20437);EPSG:20437;http://www.opengis.net/def/crs/EPSG/0/20437
Ain el Abd / UTM zone 38N (EPSG:20438);EPSG:20438;http://www.opengis.net/def/crs/EPSG/0/20438
Ain el Abd / UTM zone 39N (EPSG:20439);EPSG:20439;http://www.opengis.net/def/crs/EPSG/0/20439
Hanoi 1972 / Gauss-Kruger zone 18 (EPSG:2044);EPSG:2044;http://www.opengis.net/def/crs/EPSG/0/2044
Ain el Abd / UTM zone 40N (EPSG:20440);EPSG:20440;http://www.opengis.net/def/crs/EPSG/0/20440
Hanoi 1972 / Gauss-Kruger zone 19 (EPSG:2045);EPSG:2045;http://www.opengis.net/def/crs/EPSG/0/2045
Hartebeesthoek94 / Lo15 (EPSG:2046);EPSG:2046;http://www.opengis.net/def/crs/EPSG/0/2046
Hartebeesthoek94 / Lo17 (EPSG:2047);EPSG:2047;http://www.opengis.net/def/crs/EPSG/0/2047
Hartebeesthoek94 / Lo19 (EPSG:2048);EPSG:2048;http://www.opengis.net/def/crs/EPSG/0/2048
Hartebeesthoek94 / Lo21 (EPSG:2049);EPSG:2049;http://www.opengis.net/def/crs/EPSG/0/2049
Ain el Abd / Bahrain Grid (EPSG:20499);EPSG:20499;http://www.opengis.net/def/crs/EPSG/0/20499
Hartebeesthoek94 / Lo23 (EPSG:2050);EPSG:2050;http://www.opengis.net/def/crs/EPSG/0/2050
Hartebeesthoek94 / Lo25 (EPSG:2051);EPSG:2051;http://www.opengis.net/def/crs/EPSG/0/2051
Hartebeesthoek94 / Lo27 (EPSG:2052);EPSG:2052;http://www.opengis.net/def/crs/EPSG/0/2052
Hartebeesthoek94 / Lo29 (EPSG:2053);EPSG:2053;http://www.opengis.net/def/crs/EPSG/0/2053
Afgooye / UTM zone 38N (EPSG:20538);EPSG:20538;http://www.opengis.net/def/crs/EPSG/0/20538
Afgooye / UTM zone 39N (EPSG:20539);EPSG:20539;http://www.opengis.net/def/crs/EPSG/0/20539
Hartebeesthoek94 / Lo31 (EPSG:2054);EPSG:2054;http://www.opengis.net/def/crs/EPSG/0/2054
Hartebeesthoek94 / Lo33 (EPSG:2055);EPSG:2055;http://www.opengis.net/def/crs/EPSG/0/2055
CH1903+ / LV95 (EPSG:2056);EPSG:2056;http://www.opengis.net/def/crs/EPSG/0/2056
Rassadiran / Nakhl e Taqi (EPSG:2057);EPSG:2057;http://www.opengis.net/def/crs/EPSG/0/2057
ED50(ED77) / UTM zone 38N (EPSG:2058);EPSG:2058;http://www.opengis.net/def/crs/EPSG/0/2058
ED50(ED77) / UTM zone 39N (EPSG:2059);EPSG:2059;http://www.opengis.net/def/crs/EPSG/0/2059
ED50(ED77) / UTM zone 40N (EPSG:2060);EPSG:2060;http://www.opengis.net/def/crs/EPSG/0/2060
ED50(ED77) / UTM zone 41N (EPSG:2061);EPSG:2061;http://www.opengis.net/def/crs/EPSG/0/2061
Madrid 1870 (Madrid) / Spain (EPSG:2062);EPSG:2062;http://www.opengis.net/def/crs/EPSG/0/2062
Dabola 1981 / UTM zone 28N (EPSG:2063);EPSG:2063;http://www.opengis.net/def/crs/EPSG/0/2063
Dabola 1981 / UTM zone 29N (EPSG:2064);EPSG:2064;http://www.opengis.net/def/crs/EPSG/0/2064
S-JTSK (Ferro) / Krovak (EPSG:2065);EPSG:2065;http://www.opengis.net/def/crs/EPSG/0/2065
Mount Dillon / Tobago Grid (EPSG:2066);EPSG:2066;http://www.opengis.net/def/crs/EPSG/0/2066
Naparima 1955 / UTM zone 20N (EPSG:2067);EPSG:2067;http://www.opengis.net/def/crs/EPSG/0/2067
ELD79 / Libya zone 5 (EPSG:2068);EPSG:2068;http://www.opengis.net/def/crs/EPSG/0/2068
ELD79 / Libya zone 6 (EPSG:2069);EPSG:2069;http://www.opengis.net/def/crs/EPSG/0/2069
ELD79 / Libya zone 7 (EPSG:2070);EPSG:2070;http://www.opengis.net/def/crs/EPSG/0/2070
ELD79 / Libya zone 8 (EPSG:2071);EPSG:2071;http://www.opengis.net/def/crs/EPSG/0/2071
ELD79 / Libya zone 9 (EPSG:2072);EPSG:2072;http://www.opengis.net/def/crs/EPSG/0/2072
ELD79 / Libya zone 10 (EPSG:2073);EPSG:2073;http://www.opengis.net/def/crs/EPSG/0/2073
ELD79 / Libya zone 11 (EPSG:2074);EPSG:2074;http://www.opengis.net/def/crs/EPSG/0/2074
ELD79 / Libya zone 12 (EPSG:2075);EPSG:2075;http://www.opengis.net/def/crs/EPSG/0/2075
ELD79 / Libya zone 13 (EPSG:2076);EPSG:2076;http://www.opengis.net/def/crs/EPSG/0/2076
ELD79 / UTM zone 32N (EPSG:2077);EPSG:2077;http://www.opengis.net/def/crs/EPSG/0/2077
ELD79 / UTM zone 33N (EPSG:2078);EPSG:2078;http://www.opengis.net/def/crs/EPSG/0/2078
ELD79 / UTM zone 34N (EPSG:2079);EPSG:2079;http://www.opengis.net/def/crs/EPSG/0/2079
Lisbon (Lisbon) / Portuguese National Grid (EPSG:20790);EPSG:20790;http://www.opengis.net/def/crs/EPSG/0/20790
Lisbon (Lisbon) / Portuguese Grid (EPSG:20791);EPSG:20791;http://www.opengis.net/def/crs/EPSG/0/20791
ELD79 / UTM zone 35N (EPSG:2080);EPSG:2080;http://www.opengis.net/def/crs/EPSG/0/2080
Chos Malal 1914 / Argentina 2 (EPSG:2081);EPSG:2081;http://www.opengis.net/def/crs/EPSG/0/2081
Pampa del Castillo / Argentina 2 (EPSG:2082);EPSG:2082;http://www.opengis.net/def/crs/EPSG/0/2082
Aratu / UTM zone 22S (EPSG:20822);EPSG:20822;http://www.opengis.net/def/crs/EPSG/0/20822
Aratu / UTM zone 23S (EPSG:20823);EPSG:20823;http://www.opengis.net/def/crs/EPSG/0/20823
Aratu / UTM zone 24S (EPSG:20824);EPSG:20824;http://www.opengis.net/def/crs/EPSG/0/20824
Hito XVIII 1963 / Argentina 2 (EPSG:2083);EPSG:2083;http://www.opengis.net/def/crs/EPSG/0/2083
Hito XVIII 1963 / UTM zone 19S (EPSG:2084);EPSG:2084;http://www.opengis.net/def/crs/EPSG/0/2084
NAD27 / Cuba Norte (EPSG:2085);EPSG:2085;http://www.opengis.net/def/crs/EPSG/0/2085
NAD27 / Cuba Sur (EPSG:2086);EPSG:2086;http://www.opengis.net/def/crs/EPSG/0/2086
ELD79 / TM 12 NE (EPSG:2087);EPSG:2087;http://www.opengis.net/def/crs/EPSG/0/2087
Carthage / TM 11 NE (EPSG:2088);EPSG:2088;http://www.opengis.net/def/crs/EPSG/0/2088
Yemen NGN96 / UTM zone 38N (EPSG:2089);EPSG:2089;http://www.opengis.net/def/crs/EPSG/0/2089
Yemen NGN96 / UTM zone 39N (EPSG:2090);EPSG:2090;http://www.opengis.net/def/crs/EPSG/0/2090
South Yemen / Gauss Kruger zone 8 (EPSG:2091);EPSG:2091;http://www.opengis.net/def/crs/EPSG/0/2091
South Yemen / Gauss Kruger zone 9 (EPSG:2092);EPSG:2092;http://www.opengis.net/def/crs/EPSG/0/2092
Hanoi 1972 / GK 106 NE (EPSG:2093);EPSG:2093;http://www.opengis.net/def/crs/EPSG/0/2093
Arc 1950 / UTM zone 34S (EPSG:20934);EPSG:20934;http://www.opengis.net/def/crs/EPSG/0/20934
Arc 1950 / UTM zone 35S (EPSG:20935);EPSG:20935;http://www.opengis.net/def/crs/EPSG/0/20935
Arc 1950 / UTM zone 36S (EPSG:20936);EPSG:20936;http://www.opengis.net/def/crs/EPSG/0/20936
WGS 72BE / TM 106 NE (EPSG:2094);EPSG:2094;http://www.opengis.net/def/crs/EPSG/0/2094
Bissau / UTM zone 28N (EPSG:2095);EPSG:2095;http://www.opengis.net/def/crs/EPSG/0/2095
Korean 1985 / East Belt (EPSG:2096);EPSG:2096;http://www.opengis.net/def/crs/EPSG/0/2096
Korean 1985 / Central Belt (EPSG:2097);EPSG:2097;http://www.opengis.net/def/crs/EPSG/0/2097
Korean 1985 / West Belt (EPSG:2098);EPSG:2098;http://www.opengis.net/def/crs/EPSG/0/2098
Qatar 1948 / Qatar Grid (EPSG:2099);EPSG:2099;http://www.opengis.net/def/crs/EPSG/0/2099
GGRS87 / Greek Grid (EPSG:2100);EPSG:2100;http://www.opengis.net/def/crs/EPSG/0/2100
Lake / Maracaibo Grid M1 (EPSG:2101);EPSG:2101;http://www.opengis.net/def/crs/EPSG/0/2101
Lake / Maracaibo Grid (EPSG:2102);EPSG:2102;http://www.opengis.net/def/crs/EPSG/0/2102
Lake / Maracaibo Grid M3 (EPSG:2103);EPSG:2103;http://www.opengis.net/def/crs/EPSG/0/2103
Arc 1960 / UTM zone 35S (EPSG:21035);EPSG:21035;http://www.opengis.net/def/crs/EPSG/0/21035
Arc 1960 / UTM zone 36S (EPSG:21036);EPSG:21036;http://www.opengis.net/def/crs/EPSG/0/21036
Arc 1960 / UTM zone 37S (EPSG:21037);EPSG:21037;http://www.opengis.net/def/crs/EPSG/0/21037
Lake / Maracaibo La Rosa Grid (EPSG:2104);EPSG:2104;http://www.opengis.net/def/crs/EPSG/0/2104
NZGD2000 / Mount Eden 2000 (EPSG:2105);EPSG:2105;http://www.opengis.net/def/crs/EPSG/0/2105
NZGD2000 / Bay of Plenty 2000 (EPSG:2106);EPSG:2106;http://www.opengis.net/def/crs/EPSG/0/2106
NZGD2000 / Poverty Bay 2000 (EPSG:2107);EPSG:2107;http://www.opengis.net/def/crs/EPSG/0/2107
NZGD2000 / Hawkes Bay 2000 (EPSG:2108);EPSG:2108;http://www.opengis.net/def/crs/EPSG/0/2108
NZGD2000 / Taranaki 2000 (EPSG:2109);EPSG:2109;http://www.opengis.net/def/crs/EPSG/0/2109
Arc 1960 / UTM zone 35N (EPSG:21095);EPSG:21095;http://www.opengis.net/def/crs/EPSG/0/21095
Arc 1960 / UTM zone 36N (EPSG:21096);EPSG:21096;http://www.opengis.net/def/crs/EPSG/0/21096
Arc 1960 / UTM zone 37N (EPSG:21097);EPSG:21097;http://www.opengis.net/def/crs/EPSG/0/21097
NZGD2000 / Tuhirangi 2000 (EPSG:2110);EPSG:2110;http://www.opengis.net/def/crs/EPSG/0/2110
Batavia (Jakarta) / NEIEZ (EPSG:21100);EPSG:21100;http://www.opengis.net/def/crs/EPSG/0/21100
NZGD2000 / Wanganui 2000 (EPSG:2111);EPSG:2111;http://www.opengis.net/def/crs/EPSG/0/2111
NZGD2000 / Wairarapa 2000 (EPSG:2112);EPSG:2112;http://www.opengis.net/def/crs/EPSG/0/2112
NZGD2000 / Wellington 2000 (EPSG:2113);EPSG:2113;http://www.opengis.net/def/crs/EPSG/0/2113
NZGD2000 / Collingwood 2000 (EPSG:2114);EPSG:2114;http://www.opengis.net/def/crs/EPSG/0/2114
Batavia / UTM zone 48S (EPSG:21148);EPSG:21148;http://www.opengis.net/def/crs/EPSG/0/21148
Batavia / UTM zone 49S (EPSG:21149);EPSG:21149;http://www.opengis.net/def/crs/EPSG/0/21149
NZGD2000 / Nelson 2000 (EPSG:2115);EPSG:2115;http://www.opengis.net/def/crs/EPSG/0/2115
Batavia / UTM zone 50S (EPSG:21150);EPSG:21150;http://www.opengis.net/def/crs/EPSG/0/21150
NZGD2000 / Karamea 2000 (EPSG:2116);EPSG:2116;http://www.opengis.net/def/crs/EPSG/0/2116
NZGD2000 / Buller 2000 (EPSG:2117);EPSG:2117;http://www.opengis.net/def/crs/EPSG/0/2117
NZGD2000 / Grey 2000 (EPSG:2118);EPSG:2118;http://www.opengis.net/def/crs/EPSG/0/2118
NZGD2000 / Amuri 2000 (EPSG:2119);EPSG:2119;http://www.opengis.net/def/crs/EPSG/0/2119
NZGD2000 / Marlborough 2000 (EPSG:2120);EPSG:2120;http://www.opengis.net/def/crs/EPSG/0/2120
